Item,Unit Price,Quantity,Total Price,URL
Predator 212cc Engine,$149.99,0 (Already Own),0,https://www.harborfreight.com/65-hp-212cc-ohv-horizontal-shaft-gas-engine-epa-69730.html
"Back Wheels 

",$64.95,2,$129.90,https://www.gopowersports.com/145-x70-6-knobby-wheel-assembly-1-bore
Engine Mounting Plate,$15.99,1,$15.99,https://www.walmart.com/ip/JRL-Motor-Mount-Plate-Kit-Harbor-Freight-Predator-For-212cc-Engine-Motor-Mount-Plate-Kit-6-5HP-Go-Kart/1553238911?wmlspartner=wlpa&selectedSellerId=101089297&sourceid=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&veh=dsn&wmlspartner=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&cn=0042_fy27_mp_mpa_lo_int_dis_pmax-p13n&wl9=pla&wl11=online&gad_source=1&gad_campaignid=23148469844&gbraid=0AAAAADmfBIoXduid9xVebSBss-DheVyZD&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa0XVGTJpQ9IBYpJSrws2-USC56vp1eicbWI1ScslFUsFs36IVgfi4EaAsLbEALw_wcB
Front Wheels Set of 2,$52.98,1,$52.98,https://www.walmart.com/ip/HALBERD-4-PR-145-70-6-ATV-Go-Kart-Mini-Bike-ATV-Tires-145-70-6-HU01-All-Terrain-Off-road-Tires-Set-of-2-Tubeless/15136709734?wmlspartner=wlpa&selectedSellerId=101173328&selectedOfferId=43D23C79701F3C8C85AFB163D978E57B&conditionGroupCode=1
Front Wheel Rims,$29.95,2,$59.90,https://www.bmikarts.com/6-x-4-12-Floater-Wheel_p_1566.html?srsltid=AfmBOopctCR9zSRW-7UiEqR7UPV91Dgz5dZFub6JQFLrJp46ySObkHfECNE
Cable Clamp,$6.50,1,$6.50,https://zero-error.com/products/cable-clamp-2?srsltid=AfmBOopw62k_QolMXdDYmgdVIO84MhecV_i9nJoXuY8W8QG5tz1EyVYp
Brake Cable,$7.95,1,$7.95,https://www.bmikarts.com/Brake-Cable--65_p_5554.html
Torque Converter,$58.68,1,$58.68,https://www.amazon.com/212CC-Torque-Converter-Clutch-218353A/dp/B0BGXX7VQP/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.TZfZEl7Naho75sXyslsOguin9Gft5zS8Cdzr9ke8lBcpkGaTsOokoB5YbofYVtp6L5XP8Bdz60_oQfpQhLtbIQqsulN-MhC70g2xtGt1q7SIdmZcwi2DJeFdukbYLsEoIMEAkUkpqSfzbUuHycg-b_ksnnh9Xet47hhTwJV3YcWadnfxVCV0Dtl2Esn_RDIUSyGwjI-OU1ggJkOltFNF_B43SPbM3ULMmBM2bq3iGls.1cmxqC63tfgFAyx37LvD-Csdq0F2XTFE6KEzm4x1-Wg&dib_tag=se&keywords=30%2Bseries%2Btorque%2Bconverter%2B%2335%2Bchain&qid=1781623367&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Rear Live Axle + Brakes + Sprocket Kit,$193.95,1,$193.95,https://www.bmikarts.com/1-Live-Axle-Kit-35-Chain_p_44794.html?srsltid=AfmBOoqgqtjn9SSq9ierFu9jjqPi0PCzwxA0o21o8fqavQkBkc28IrQo
Pedals + Throttle Cable,$16.99,1,$16.99,https://www.amazon.com/CILOYU-Pedals-Throttle-Accessorise-Predator/dp/B0CVWZQCHG/ref=sr_1_9?crid=3MRWGBGHM1HX8&dib=eyJ2IjoiMSJ9.Cc5KPbdUAvFZNWbnqUYqJB3BHKTsG53VWA-VoT80qg87l4D8qLAqPUc_FNOyQNyiBlnqqnvPvyad0Vm6HeQQEGGFbZFhopbcxUsJN4wkM4Ev7tDaiC4mPoiM1QlKlXVKCRhKjanxaFNcE53-x9VWqDYkUFU37q_qKSXS0XlvQ6_sNX3XWNje5viQ29DsqNwcabyYgg4OGmvS-1Sc19k4x2NJETgLcSRjEUezB1AJfwfj08haEl4DcJ1DiIxGlzvZu8X-9BTrCiMS2F6njMolHFlQfi60dz_gWfwh4f_IFLU.Tkjo4AA4SfwKwrq4MfA3gNbXVibMN6UE_J11I4JqTmw&dib_tag=se&keywords=go%2Bkart%2Bpedal%2Bkit&qid=1781379817&sprefix=go%2Bkart%2Bpedal%2B%2Caps%2C466&sr=8-9&th=1
