Distance (mm),Distance (in),Quantity,Where on the Roll Cage
335.661,13.215,2,"This is the connection point on the front of the go kart. There is one for each side of the cage, and this piece will have to be bent. "
1000,39.3701,2,This is the straight connection point between the front bent peice and the bent piece on the top. There is one for each side of the cage. 
487.207,19.18137795,2,"This is the straight connection point between the back bent piece that connects to the frame, and the bent piece on the top. There is one for each side of the cage."
950.521,37.42208661,2,"This is the bent top piece of the cage, and there is one for each side. connects to the two straight pieces, and the connection beams across."
574.632,22.62330709,2,"This is the bent connection piece that connects to the frame in the back, and one of the straight pieces. One for each side. In the back!"
500,19.685,1,This is the bottom connection beam that connects the two sides of the cage. It is in the very front. 
735.275,28.94783465,1,This is the connection beam in the very back that connects to the curved beam at the top for both sides. It is the furthest back beam. 
607.799,23.92909449,1,"This is the middle connection beam that connects the two sides. It connects to the curved top beam, and long straight beam for each side."
,,,
"* If the distance is slightly off, then just cut the metal to accomodate. ",,,
,,,
Total: 336.18,,,
Metal to buy: 28ft of 11 gauge 1.25 inch round steel tubing. ,,,
